GeneId	logFC	logCPM	LR	PValue	FDR	RefSeq	Gene_Symbol
AK4_NM_203464	-0.993271867	3.646358545	4.03988593	0.044436825	0.999752564	NM_203464	AK4
WISP1_NM_001204870	-1.42204802	4.502856293	4.0387747	0.044466096	0.999752564	NM_001204870	WISP1
WISP1_NR_037944	-1.417863328	4.580793206	4.037705968	0.044494266	0.999752564	NR_037944	WISP1
KPNA2_NM_002266	0.872117071	6.360400987	4.036448222	0.044527442	0.999752564	NM_002266	KPNA2
ATXN2L_NM_148415	-0.650016788	6.09326361	4.033798988	0.044597408	0.999752564	NM_148415	ATXN2L
WISP1_NM_003882	-1.408480205	4.720292729	4.030743247	0.044678254	0.999752564	NM_003882	WISP1
WISP1_NM_080838	-1.409671033	4.653113869	4.029364313	0.044714786	0.999752564	NM_080838	WISP1
WISP1_NM_001204869	-1.413198117	4.579087033	4.025062426	0.044828961	0.999752564	NM_001204869	WISP1
DEPDC1_NM_017779	1.341328011	2.1505426	4.022631699	0.044893609	0.999752564	NM_017779	DEPDC1
MEG3_NR_033358	-1.185289138	2.755862819	4.01336232	0.045141043	0.999752564	NR_033358	MEG3
AK4_NM_013410	-0.992642241	3.641133415	4.013260075	0.045143781	0.999752564	NM_013410	AK4
PSMC3IP_NM_001256016	0.941453019	2.79764067	4.011757116	0.045184038	0.999752564	NM_001256016	PSMC3IP
HMMR_NM_012485	1.340534828	2.49169305	4.011322608	0.045195683	0.999752564	NM_012485	HMMR
HMMR_NM_012484	1.339804015	2.524433807	4.000367989	0.045490331	0.999752564	NM_012484	HMMR
HMMR_NM_001142556	1.338790351	2.524718099	3.994087409	0.045660172	0.999752564	NM_001142556	HMMR
PVR_NM_001135768	-0.661989534	4.440343062	3.992207415	0.045711142	0.999752564	NM_001135768	PVR
UHRF1_NM_013282	1.178899089	2.816811961	3.991542324	0.045729188	0.999752564	NM_013282	UHRF1
PVR_NM_006505	-0.66108388	4.473499222	3.973420013	0.046223799	0.999752564	NM_006505	PVR
BLM_NM_000057	1.75452731	0.428345163	3.97081412	0.046295384	0.999752564	NM_000057	BLM
SMOC2_NM_022138	-2.937717775	1.719624698	3.970743972	0.046297313	0.999752564	NM_022138	SMOC2
SMOC2_NM_001166412	-2.937090352	1.718976568	3.969268807	0.04633789	0.999752564	NM_001166412	SMOC2
CDKN2A_NM_058195	-0.902869969	2.445528998	3.959204067	0.04661574	0.999752564	NM_058195	CDKN2A
LOC100130015_NR_027335	1.284012375	0.848411367	3.958823268	0.046626287	0.999752564	NR_027335	LOC100130015
LIG1_NM_000234	1.108047401	3.456384296	3.955698235	0.046712935	0.999752564	NM_000234	LIG1
IGDCC4_NM_020962	-1.543375988	2.085401639	3.955233515	0.046725835	0.999752564	NM_020962	IGDCC4
GPR153_NM_207370	-0.90712133	3.013843105	3.955176499	0.046727418	0.999752564	NM_207370	GPR153
ZWILCH_NR_003105	1.02294851	3.675013039	3.951993224	0.046815884	0.999752564	NR_003105	ZWILCH
ASF1B_NM_018154	1.308826882	2.729406388	3.950921895	0.046845697	0.999752564	NM_018154	ASF1B
GSTO1_NM_001191003	0.617410505	6.417324558	3.94721146	0.046949106	0.999752564	NM_001191003	GSTO1
DFNB31_NM_001083885	-1.48653524	-0.091991262	3.944945913	0.047012365	0.999752564	NM_001083885	DFNB31
ZWILCH_NM_017975	1.021867962	3.672883892	3.943925884	0.047040876	0.999752564	NM_017975	ZWILCH
TRIM10_NM_052828	-0.675688186	5.318388461	3.940480256	0.047137319	0.999752564	NM_052828	TRIM10
LOC100289092_NR_046290	-1.28579587	1.394031293	3.933754392	0.047326176	0.999752564	NR_046290	LOC100289092
TEX30_NM_138779	1.078428075	2.341946225	3.932210653	0.047369636	0.999752564	NM_138779	TEX30
GSTO1_NM_004832	0.620621796	6.504402892	3.931338998	0.047394194	0.999752564	NM_004832	GSTO1
FAM111B_NM_001142703	1.696151113	0.776619311	3.929506732	0.047445859	0.999752564	NM_001142703	FAM111B
LOC100289092_NR_046288	-1.28339304	1.39604987	3.929204415	0.047454389	0.999752564	NR_046288	LOC100289092
INCENP_NM_001040694	1.110058878	2.95538785	3.927758212	0.047495218	0.999752564	NM_001040694	INCENP
LOC100289092_NR_046289	-1.284668963	1.394275624	3.927174789	0.0475117	0.999752564	NR_046289	LOC100289092
LOC100289092_NR_046287	-1.282268551	1.396293925	3.926485806	0.047531171	0.999752564	NR_046287	LOC100289092
PTTG1_NM_004219	1.053049696	3.596483055	3.924840283	0.04757771	0.999752564	NM_004219	PTTG1
TPX2_NM_012112	1.125264776	5.354732125	3.924350524	0.04759157	0.999752564	NM_012112	TPX2
ARHGEF4_NM_015320	-1.236137493	1.791791752	3.921546769	0.047671	0.999752564	NM_015320	ARHGEF4
INCENP_NM_020238	1.10788682	2.939056452	3.918729849	0.047750945	0.999752564	NM_020238	INCENP
WDHD1_NM_007086	1.139560086	2.47695807	3.917417573	0.047788235	0.999752564	NM_007086	WDHD1
HMMR_NM_001142557	1.342137169	2.407539888	3.913618195	0.047896375	0.999752564	NM_001142557	HMMR
ARHGEF4_NM_032995	-1.24108127	1.743433708	3.913449093	0.047901194	0.999752564	NM_032995	ARHGEF4
MCM7_NM_005916	0.926114318	5.273279321	3.909680289	0.04800873	0.999752564	NM_005916	MCM7
RGNEF_NM_001244364	1.158472064	1.536415962	3.906258279	0.048106591	0.999752564	NM_001244364	RGNEF
RCOR2_NM_173587	-1.460993182	0.17692719	3.90512735	0.048138979	0.999752564	NM_173587	RCOR2
LINC00102_NR_037842	1.446835788	0.764672529	3.90222667	0.048222155	0.999752564	NR_037842	LINC00102
CDKN2A_NM_000077	-0.934843541	2.307628247	3.901508096	0.048242784	0.999752564	NM_000077	CDKN2A
BUB3_NM_004725	0.655680531	5.539060813	3.901235464	0.048250613	0.999752564	NM_004725	BUB3
MEG3_NR_033360	-1.188001917	2.580236253	3.89916041	0.048310245	0.999752564	NR_033360	MEG3
NAV1_NM_001167738	-0.582370467	6.019150353	3.898483056	0.048329727	0.999752564	NM_001167738	NAV1
VEGFA_NM_001171624	-0.684778069	4.405515007	3.89732069	0.048363179	0.999752564	NM_001171624	VEGFA
VEGFA_NM_003376	-0.684778068	4.405515007	3.897094116	0.048369702	0.999752564	NM_003376	VEGFA
MCM7_NM_182776	0.921917116	5.226623101	3.896396574	0.048389791	0.999752564	NM_182776	MCM7
VEGFA_NM_001171625	-0.684967237	4.404608017	3.896386633	0.048390078	0.999752564	NM_001171625	VEGFA
VEGFA_NM_001025367	-0.684967236	4.404608016	3.896030812	0.048400329	0.999752564	NM_001025367	VEGFA
VEGFA_NM_001025366	-0.684898781	4.4056577	3.893704418	0.048467408	0.999752564	NM_001025366	VEGFA
VEGFA_NM_001171623	-0.68489878	4.4056577	3.893525042	0.048472584	0.999752564	NM_001171623	VEGFA
KIF22_NM_001256269	1.09574956	3.80020916	3.892718091	0.048495877	0.999752564	NM_001256269	KIF22
MEG3_NR_002766	-1.184180113	2.640650765	3.892339925	0.048506797	0.999752564	NR_002766	MEG3
WDHD1_NM_001008396	1.142484504	2.446289591	3.889547278	0.048587519	0.999752564	NM_001008396	WDHD1
TBKBP1_NM_014726	-0.846134184	2.636929323	3.878313062	0.048913681	0.999752564	NM_014726	TBKBP1
HSPB7_NM_014424	1.128894942	7.047034607	3.871194277	0.049121556	0.999752564	NM_014424	HSPB7
PTPRN_NM_002846	-1.38482201	3.946886399	3.869555895	0.04916953	0.999752564	NM_002846	PTPRN
PTPRN_NM_001199764	-1.385574242	3.943636002	3.866386079	0.049262488	0.999752564	NM_001199764	PTPRN
NAV1_NM_020443	-0.579202309	6.095806693	3.860016382	0.049449846	0.999752564	NM_020443	NAV1
CDKN2A_NM_058197	-0.927526253	2.29830031	3.854158165	0.049622823	0.999752564	NM_058197	CDKN2A
RBL1_NM_002895	1.203844694	1.978574982	3.853442976	0.049643985	0.999752564	NM_002895	RBL1
LOC642826_NR_024495	1.36433719	1.314710131	3.851895599	0.049689802	0.999752564	NR_024495	LOC642826
MYBL2_NM_002466	1.204340215	3.958240595	3.849281315	0.049767311	0.999752564	NM_002466	MYBL2
TSHZ1_NM_005786	-0.901836638	3.287546061	3.845753296	0.049872114	0.999752564	NM_005786	TSHZ1
KALRN_NM_007064	-1.580853072	-0.561130098	3.844803513	0.049900368	0.999752564	NM_007064	KALRN
TRIM15_NM_033229	-0.675772436	5.125668026	3.844307773	0.049915122	0.999752564	NM_033229	TRIM15
KIF22_NM_007317	1.092765081	3.774424345	3.84086645	0.050017667	0.999752564	NM_007317	KIF22
TRIM10_NM_006778_2	-0.67560854	5.125771855	3.840688335	0.050022981	0.999752564	NM_006778_2	TRIM10
KIF22_NM_001256270	1.092767767	3.77482491	3.839402544	0.050061357	0.999752564	NM_001256270	KIF22
DMKN_NM_001035516	1.404324703	1.359383319	3.839198516	0.050067449	0.999752564	NM_001035516	DMKN
VEGFA_NM_001025369	-0.684662904	4.344083206	3.838783386	0.050079847	0.999752564	NM_001025369	VEGFA
ATXN2L_NM_007245	-0.630245436	6.07490715	3.836733844	0.050141106	0.999752564	NM_007245	ATXN2L
HJURP_NM_018410	1.328698584	2.979429046	3.836451874	0.05014954	0.999752564	NM_018410	HJURP
VEGFA_NM_001171627	-0.684662894	4.3440832	3.835806187	0.050168859	0.999752564	NM_001171627	VEGFA
AMACR_NM_203382	0.804936446	2.758339104	3.826464936	0.050449229	0.999752564	NM_203382	AMACR
KCP_NM_199349	-2.322792523	-0.650077295	3.824363339	0.050512535	0.999752564	NM_199349	KCP
BHMT_NM_001713	-1.815025524	-0.374393721	3.820170979	0.05063907	0.999752564	NM_001713	BHMT
ITGA7_NM_001144996	1.250443968	1.799836595	3.819073026	0.050672265	0.999752564	NM_001144996	ITGA7
CDCA4_NM_017955	1.084703645	2.767582956	3.818503356	0.050689497	0.999752564	NM_017955	CDCA4
LOC100506990_NR_040092	0.77595043	3.485428665	3.816287023	0.050756597	0.999752564	NR_040092	LOC100506990
PTPRN_NM_001199763	-1.381872681	3.901458911	3.814819151	0.050801089	0.999752564	NM_001199763	PTPRN
CREB5_NM_182898	-1.518684952	1.534008157	3.81436764	0.050814783	0.999752564	NM_182898	CREB5
GJC1_NM_001080383	0.751631494	4.289193631	3.811248759	0.050909482	0.999752564	NM_001080383	GJC1
PSMC3IP_NM_016556	0.918524192	2.76191106	3.809989241	0.050947778	0.999752564	NM_016556	PSMC3IP
VEGFA_NM_001204384	-0.68605454	4.327430872	3.809856487	0.050951816	0.999752564	NM_001204384	VEGFA
VEGFA_NM_001204385	-0.68605454	4.327430872	3.809651932	0.050958039	0.999752564	NM_001204385	VEGFA
PSMC3IP_NM_001256015	0.917616879	2.763658795	3.806040974	0.051068023	0.999752564	NM_001256015	PSMC3IP
CREB5_NM_004904	-1.517271517	1.532629809	3.805766281	0.0510764	0.999752564	NM_004904	CREB5
HN1_NM_016185	0.661509584	5.222157131	3.805444365	0.051086219	0.999752564	NM_016185	HN1
LMNB1_NM_005573	1.193466888	3.660377379	3.80330913	0.051151397	0.999752564	NM_005573	LMNB1
CREB5_NM_182899	-1.516602664	1.527687887	3.802989395	0.051161165	0.999752564	NM_182899	CREB5
VEGFA_NM_001025368	-0.683763521	4.349600173	3.80288227	0.051164438	0.999752564	NM_001025368	VEGFA
VEGFA_NM_001171626	-0.68376352	4.349600173	3.802567352	0.051174061	0.999752564	NM_001171626	VEGFA
MFSD2A_NM_032793	-1.491726112	0.428223561	3.802538068	0.051174956	0.999752564	NM_032793	MFSD2A
MFSD2A_NM_001136493	-1.491726132	0.428223566	3.802071944	0.051189203	0.999752564	NM_001136493	MFSD2A
MAB21L1_NM_005584	-1.383299049	2.068696294	3.800483609	0.051237782	0.999752564	NM_005584	MAB21L1
PSMC3IP_NR_045669	0.917372893	2.765075088	3.798814034	0.051288898	0.999752564	NR_045669	PSMC3IP
PHLDB2_NM_001134437	0.747016725	3.645980081	3.798534867	0.051297451	0.999752564	NM_001134437	PHLDB2
PHLDB2_NM_145753	0.745277734	3.651868127	3.797950268	0.051315365	0.999752564	NM_145753	PHLDB2
ECT2_NM_018098	0.950100495	3.914407056	3.79571424	0.051383946	0.999752564	NM_018098	ECT2
GINS2_NM_016095	1.22029888	2.467249344	3.791563406	0.051511514	0.999752564	NM_016095	GINS2
KIF4A_NM_012310	1.175042406	3.307000477	3.79064315	0.051539841	0.999752564	NM_012310	KIF4A
PDK2_NM_001199900	-0.868913165	3.082122198	3.790530925	0.051543297	0.999752564	NM_001199900	PDK2
CREB5_NM_001011666	-1.512402933	1.513854721	3.789338632	0.051580025	0.999752564	NM_001011666	CREB5
GJC1_NM_005497	0.748565958	4.294916879	3.785484023	0.051698956	0.999752564	NM_005497	GJC1
VEGFA_NM_001171628	-0.685035494	4.268341908	3.783196614	0.051769669	0.999752564	NM_001171628	VEGFA
VEGFA_NM_001025370	-0.685035493	4.268341908	3.783121606	0.051771989	0.999752564	NM_001025370	VEGFA
PHLDB2_NM_001134438	0.743530339	3.696469658	3.782437902	0.051793146	0.999752564	NM_001134438	PHLDB2
EBF2_NM_022659	2.011297065	0.572764395	3.781126679	0.051833747	0.999752564	NM_022659	EBF2
RNASET2_NM_003730	0.845264289	3.886530917	3.779092937	0.051896787	0.999752564	NM_003730	RNASET2
PSMC3IP_NM_001256014	0.914310174	2.754689657	3.778510778	0.051914847	0.999752564	NM_001256014	PSMC3IP
MYLK_NM_053032	0.775667843	6.18942601	3.772516188	0.052101201	0.999752564	NM_053032	MYLK
SPNS1_NM_032038	-0.611544722	5.455500556	3.771232194	0.052141209	0.999752564	NM_032038	SPNS1
ITGA7_NM_002206	1.241888567	1.783882822	3.770303848	0.052170155	0.999752564	NM_002206	ITGA7
MYLK_NM_053031	0.775552516	6.188281159	3.769518932	0.052194642	0.999752564	NM_053031	MYLK
PRKAR2B_NM_002736	-1.479347615	1.521357897	3.767968309	0.052243054	0.999752564	NM_002736	PRKAR2B
PHLDB2_NM_001134439	0.741726836	3.696966486	3.76547966	0.05232085	0.999752564	NM_001134439	PHLDB2
VEGFA_NM_001171629	-0.68078077	4.315068444	3.7612591	0.052453066	0.999752564	NM_001171629	VEGFA
VEGFA_NM_001033756	-0.68078077	4.315068444	3.761129054	0.052457146	0.999752564	NM_001033756	VEGFA
MASTL_NM_032844	1.022267675	2.599415196	3.751116935	0.052772236	0.999752564	NM_032844	MASTL
FAM111B_NM_001142704	1.678526696	0.723121631	3.751005071	0.052775768	0.999752564	NM_001142704	FAM111B
MASTL_NM_001172303	1.022869469	2.600528734	3.750503997	0.052791591	0.999752564	NM_001172303	MASTL
ITGA7_NM_001144997	1.253575458	1.669097555	3.749473498	0.052824148	0.999752564	NM_001144997	ITGA7
KCNMB4_NM_014505	-1.550748565	0.10750067	3.749448747	0.05282493	0.999752564	NM_014505	KCNMB4
LOC100506990_NR_040091	0.79074782	3.196526136	3.748984877	0.052839593	0.999752564	NR_040091	LOC100506990
PSMC3IP_NM_013290	0.910555089	2.74691462	3.742930473	0.053031361	0.999752564	NM_013290	PSMC3IP
MYO10_NM_012334	0.663847909	5.162991593	3.740070111	0.053122216	0.999752564	NM_012334	MYO10
FKBP1A-SDCBP2_NR_037661	0.654739071	4.44293999	3.734761659	0.053291269	0.999752564	NR_037661	FKBP1A-SDCBP2
NFIL3_NM_005384	0.805322205	3.338459759	3.714971626	0.053926541	0.999752564	NM_005384	NFIL3
MASTL_NM_001172304	1.027689613	2.534973147	3.714701824	0.053935257	0.999752564	NM_001172304	MASTL
RFC3_NM_181558	1.340941605	1.360009047	3.710588409	0.054068327	0.999752564	NM_181558	RFC3
AKAP6_NM_004274	-1.363535541	1.883182212	3.709861062	0.054091893	0.999752564	NM_004274	AKAP6
COX7A1_NM_001864	0.874584572	4.51910468	3.704777902	0.054256892	0.999752564	NM_001864	COX7A1
SPNS1_NM_001142451	-0.614101615	5.323354549	3.702093766	0.054344234	0.999752564	NM_001142451	SPNS1
CREBZF_NR_028024	-1.037229226	2.126356526	3.697634241	0.054489676	0.999752564	NR_028024	CREBZF
TWIST2_NM_057179	-0.718380092	5.876958753	3.693642656	0.054620207	0.999752564	NM_057179	TWIST2
C17orf97_NM_001013672	1.460492481	0.420453925	3.693183317	0.054635249	0.999752564	NM_001013672	C17orf97
PKDCC_NM_138370	-1.347188738	2.363963612	3.686826252	0.05484388	0.999752564	NM_138370	PKDCC
XG_NM_001141919	0.724132106	4.446215088	3.686429786	0.05485692	0.999752564	NM_001141919	XG
HLA-L_NR_027822	-0.619463949	5.020884976	3.684581091	0.054917765	0.999752564	NR_027822	HLA-L
LOC654342_NR_027238	-0.933424048	3.844190785	3.684171602	0.054931252	0.999752564	NR_027238	LOC654342
SFRP2_NM_003013	-1.224727703	4.999546015	3.680045902	0.055067334	0.999752564	NM_003013	SFRP2
LMNB1_NM_001198557	1.181677213	3.527822119	3.679572141	0.055082983	0.999752564	NM_001198557	LMNB1
LOC100499466_NR_027418	-0.614572215	4.871066399	3.676994047	0.055168226	0.999752564	NR_027418	LOC100499466
RPA3_NM_002947	0.787662103	3.171250368	3.669618666	0.055412861	0.999752564	NM_002947	RPA3
BCAS1_NM_003657	-1.883078488	-0.209518178	3.669269275	0.055424478	0.999752564	NM_003657	BCAS1
SYNPO2_NM_001128934	1.228690299	4.123798737	3.664876101	0.055570775	0.999752564	NM_001128934	SYNPO2
ABTB2_NM_145804	-1.050471043	2.185271741	3.661319708	0.055689506	0.999752564	NM_145804	ABTB2
IGFBP3_NM_001013398	-1.278548168	10.85151345	3.661056683	0.055698298	0.999752564	NM_001013398	IGFBP3
HN1_NM_001002033	0.641521129	5.362523435	3.660309439	0.055723283	0.999752564	NM_001002033	HN1
UBASH3B_NM_032873	0.821295086	3.439968816	3.659209376	0.055760087	0.999752564	NM_032873	UBASH3B
XG_NM_175569	0.716862397	4.385153073	3.657776238	0.055808073	0.999752564	NM_175569	XG
TMEM176B_NM_014020	1.986932176	2.204216573	3.656942031	0.055836025	0.999752564	NM_014020	TMEM176B
IGFBP3_NM_000598	-1.277423511	10.85081148	3.65619971	0.055860911	0.999752564	NM_000598	IGFBP3
TRIM40_NM_138700_7	-0.675757854	4.640232386	3.65485936	0.055905875	0.999752564	NM_138700_7	TRIM40
VEGFA_NM_001171630	-0.685941986	4.189317304	3.653662356	0.055946063	0.999752564	NM_001171630	VEGFA
PSMC3IP_NR_045670	0.90054487	2.72189492	3.65363938	0.055946834	0.999752564	NR_045670	PSMC3IP
VEGFA_NM_001171622	-0.685941986	4.189317304	3.653589594	0.055948506	0.999752564	NM_001171622	VEGFA
XG_NM_001141920	0.716862399	4.385153079	3.649980928	0.056069854	0.999752564	NM_001141920	XG
ETNK2_NM_018208	-1.340830032	1.098926393	3.646793066	0.056177283	0.999752564	NM_018208	ETNK2
KDM5B_NM_006618	-0.587129712	5.749866664	3.646562019	0.056185077	0.999752564	NM_006618	KDM5B
TUBB3_NM_006086	0.69515395	5.706135598	3.635220839	0.056569099	0.999752564	NM_006086	TUBB3
ABHD5_NM_016006	0.764966889	3.909663161	3.634973268	0.056577513	0.999752564	NM_016006	ABHD5
CHST15_NM_015892	1.467521509	1.205582178	3.632930616	0.056646985	0.999752564	NM_015892	CHST15
CENPO_NM_024322	0.8152858	3.928461623	3.632015126	0.056678151	0.999752564	NM_024322	CENPO
ABCA7_NM_019112	1.431248855	1.759601963	3.629352173	0.05676891	0.999752564	NM_019112	ABCA7
GINS1_NM_021067	1.377442733	1.976874017	3.628529331	0.056796985	0.999752564	NM_021067	GINS1
SLC7A11_NM_014331	-0.754854585	4.634893454	3.628427775	0.056800451	0.999752564	NM_014331	SLC7A11
CFH_NM_000186	0.917779283	3.298400239	3.62453526	0.056933471	0.999752564	NM_000186	CFH
PSMC3IP_NR_045671	0.896112812	2.714469898	3.623089212	0.056982972	0.999752564	NR_045671	PSMC3IP
ISG20_NM_002201	1.713883666	0.095033058	3.620435125	0.057073944	0.999752564	NM_002201	ISG20
TMEM176B_NM_001101314	1.979410209	2.042497995	3.620205972	0.057081806	0.999752564	NM_001101314	TMEM176B
ANKFN1_NM_153228	-1.946974694	-0.217109243	3.616446532	0.057210948	0.999752564	NM_153228	ANKFN1
CREBZF_NR_028025	-1.02877801	2.10985594	3.613597597	0.05730902	0.999752564	NR_028025	CREBZF
GDNF_NM_000514	1.122885906	2.178611803	3.611141705	0.057393706	0.999752564	NM_000514	GDNF
BIRC5_NM_001012270	1.09047992	4.169161901	3.610562026	0.057413714	0.999752564	NM_001012270	BIRC5
AKR1C1_NM_001353	0.803211377	7.296159031	3.605707368	0.057581567	0.999752564	NM_001353	AKR1C1
ANKRD36_NM_001164315	-1.459155483	0.500538334	3.604831648	0.057611902	0.999752564	NM_001164315	ANKRD36
CTSC_NM_001814	0.961068861	5.611211696	3.599067761	0.057811982	0.999752564	NM_001814	CTSC
SEPT6_NM_145799	-0.740522828	3.795511348	3.598094941	0.057845824	0.999752564	NM_145799	6-Sep
TTC9_NM_015351	-1.781516952	-0.478078619	3.597039418	0.057882566	0.999752564	NM_015351	TTC9
CDCA4_NM_145701	1.093783169	2.493859596	3.594071111	0.057986026	0.999752564	NM_145701	CDCA4
TBC1D3_NM_001123391	-1.386008799	0.347954813	3.592575556	0.058038228	0.999752564	NM_001123391	TBC1D3
IFIT3_NM_001549	0.770500768	3.372494865	3.587176305	0.058227102	0.999752564	NM_001549	IFIT3
LRR1_NR_037793	0.983130317	2.20407319	3.585151724	0.058298093	0.999752564	NR_037793	LRR1
TUBB3_NM_001197181	0.690092836	5.641809996	3.584383711	0.058325047	0.999752564	NM_001197181	TUBB3
CDCP1_NM_022842	1.692157769	1.125247242	3.5812035	0.058436801	0.999752564	NM_022842	CDCP1
CDC20_NM_001255	1.140737398	4.109354022	3.580118681	0.058474973	0.999752564	NM_001255	CDC20
TMEM176B_NM_001101312	1.971246586	2.205689767	3.579945858	0.058481057	0.999752564	NM_001101312	TMEM176B
TMEM176B_NM_001101311	1.971246586	2.205689768	3.579645245	0.058491641	0.999752564	NM_001101311	TMEM176B
SEPT6_NM_015129	-0.751525275	3.670913322	3.577998029	0.058549672	0.999752564	NM_015129	6-Sep
BIRC5_NM_001168	1.073595974	4.375441446	3.577619609	0.058563012	0.999752564	NM_001168	BIRC5
ZFC3H1_NM_144982	-0.704867848	3.641723661	3.577100427	0.05858132	0.999752564	NM_144982	ZFC3H1
FLG_NM_002016	-1.533901638	0.519257395	3.570623865	0.058810213	0.999752564	NM_002016	FLG
TYMS_NM_001071	0.946861173	5.290060294	3.567952221	0.05890491	0.999752564	NM_001071	TYMS
EPS8_NM_004447	0.627729905	5.787629914	3.566890624	0.058942583	0.999752564	NM_004447	EPS8
LOC613037_NR_002555	-0.975028975	2.028424892	3.566077888	0.058971443	0.999752564	NR_002555	LOC613037
GDNF_NM_001190468	1.114533481	2.157113819	3.558603671	0.05923755	0.999752564	NM_001190468	GDNF
RBL1_NM_183404	1.201975046	1.690747002	3.557510698	0.05927657	0.999752564	NM_183404	RBL1
APOBEC3A_NM_001193289	1.194805757	1.797292692	3.555728661	0.059340249	0.999752564	NM_001193289	APOBEC3A
GNB3_NM_002075	1.859112131	0.326510974	3.551012918	0.059509113	0.999752564	NM_002075	GNB3
TBC1D3F_NM_032258	-1.38048254	0.343231981	3.547902504	0.059620771	0.999752564	NM_032258	TBC1D3F
NFATC2IP_NM_032815	-0.739603586	4.270391231	3.545983541	0.05968977	0.999752564	NM_032815	NFATC2IP
CGB7_NM_033142	2.445985305	0.403805748	3.545182038	0.059718614	0.999752564	NM_033142	CGB7
POLR2J2_NM_032959	0.727113128	8.855811983	3.54292623	0.059799875	0.999752564	NM_032959	POLR2J2
SYNPO2_NM_133477	1.198329956	3.95203243	3.537563117	0.059993542	0.999752564	NM_133477	SYNPO2
PLK1_NM_005030	1.183218611	3.959919438	3.534438274	0.060106691	0.999752564	NM_005030	PLK1
CENPO_NM_001199803	0.788970744	3.958079396	3.533437338	0.060142982	0.999752564	NM_001199803	CENPO
ARRB1_NM_004041	1.150597121	2.631425913	3.533092794	0.06015548	0.999752564	NM_004041	ARRB1
FAM156A_NM_014138	-0.798921932	2.768539959	3.530213234	0.060260038	0.999752564	NM_014138	FAM156A
IFIT3_NM_001031683	0.765955624	3.384307239	3.529741565	0.060277183	0.999752564	NM_001031683	IFIT3
BIRC5_NM_001012271	1.065883179	4.44488596	3.529008875	0.060303826	0.999752564	NM_001012271	BIRC5
MT1IP_NR_003669	1.439923376	0.375465812	3.525041379	0.060448316	0.999752564	NR_003669	MT1IP
ACVR2A_NM_001616	-0.922822548	2.9452415	3.524214719	0.060478468	0.999752564	NM_001616	ACVR2A
RFC4_NM_002916	1.016742936	2.465696537	3.523980003	0.060487032	0.999752564	NM_002916	RFC4
GDNF_NM_199231	1.112995846	2.144813213	3.523410915	0.060507802	0.999752564	NM_199231	GDNF
GDNF_NM_001190469	1.112572003	2.144555135	3.521342409	0.060583359	0.999752564	NM_001190469	GDNF
PRIM1_NM_000946	1.13062428	1.999232896	3.514726935	0.060825679	0.999752564	NM_000946	PRIM1
PPP1R9B_NM_032595	-0.575808492	5.327764907	3.514195465	0.060845192	0.999752564	NM_032595	PPP1R9B
CACNA1G_NM_018896	1.610734273	1.437666099	3.512075264	0.060923098	0.999752564	NM_018896	CACNA1G
GPC6_NM_005708	-0.918710249	3.928994973	3.509917604	0.061002489	0.999752564	NM_005708	GPC6
CACNA1G_NM_001256325	1.614650901	1.413589801	3.507914845	0.06107628	0.999752564	NM_001256325	CACNA1G
CACNA1G_NM_198385	1.613333789	1.425536343	3.507322848	0.06109811	0.999752564	NM_198385	CACNA1G
CACNA1G_NM_198384	1.614515955	1.413509429	3.505812871	0.061153828	0.999752564	NM_198384	CACNA1G
IGFBP7_NM_001253835	0.970116162	6.071175726	3.504468424	0.061203484	0.999752564	NM_001253835	IGFBP7
CENPN_NM_001100625	0.858895622	3.859493058	3.503785237	0.061228733	0.999752564	NM_001100625	CENPN
CACNA1G_NM_198377	1.611200008	1.418672376	3.499402893	0.06139096	0.999752564	NM_198377	CACNA1G
CACNA1G_NM_001256327	1.613453631	1.411300816	3.497505471	0.061461341	0.999752564	NM_001256327	CACNA1G
CACNA1G_NM_198380	1.61383837	1.406381214	3.49593787	0.061519553	0.999752564	NM_198380	CACNA1G
RFC4_NM_181573	1.023431416	2.416445949	3.495228698	0.061545907	0.999752564	NM_181573	RFC4
CACNA1G_NM_001256324	1.613702935	1.406300462	3.49499075	0.061554752	0.999752564	NM_001256324	CACNA1G
CACNA1G_NM_001256333	1.618696829	1.38952833	3.488951803	0.061779691	0.999752564	NM_001256333	CACNA1G
CACNA1G_NM_198383	1.610597019	1.413714168	3.488855311	0.061783292	0.999752564	NM_198383	CACNA1G
TSC22D3_NM_004089	0.743652078	3.152054539	3.488702429	0.061788998	0.999752564	NM_004089	TSC22D3
ARRB1_NM_020251	1.145618695	2.604556805	3.488406877	0.061800031	0.999752564	NM_020251	ARRB1
MALL_NM_005434	1.575654088	3.841565048	3.487981996	0.061815896	0.999752564	NM_005434	MALL
CACNA1G_NM_001256334	1.619288487	1.369886008	3.487401557	0.061837576	0.999752564	NM_001256334	CACNA1G
FKBP1A_NM_054014	0.616626346	5.3763893	3.486275759	0.061879648	0.999752564	NM_054014	FKBP1A
CTSC_NM_148170	0.995620577	5.066409269	3.485872916	0.06189471	0.999752564	NM_148170	CTSC
MCM6_NM_005915	0.724785066	4.770434659	3.484136248	0.061959688	0.999752564	NM_005915	MCM6
EBF3_NM_001005463	1.255766722	1.387522539	3.48390597	0.061968309	0.999752564	NM_001005463	EBF3
CACNA1G_NM_198378	1.615040142	1.394192615	3.482209321	0.06203187	0.999752564	NM_198378	CACNA1G
