gene_id	logFC	logCPM	LR	PValue	FDR	gene_symbol	refseq
TMEM132A_NM_178031	-0.365888418	2.533556338	0.589857172	0.442474355	0.999752564	TMEM132A	NM_178031
ZNF514_NM_032788	-0.46574642	0.925047071	0.589697147	0.442536254	0.999752564	ZNF514	NM_032788
APOL1_NM_003661	-0.476592533	2.334435331	0.589666995	0.442547919	0.999752564	APOL1	NM_003661
RASA2_NM_006506	-0.361039398	2.348584442	0.58943029	0.442639506	0.999752564	RASA2	NM_006506
TMEM129_NM_138385	-0.274917758	3.851672382	0.589326647	0.442679618	0.999752564	TMEM129	NM_138385
MRPL37_NM_016491	0.225207343	5.712040308	0.589230821	0.44271671	0.999752564	MRPL37	NM_016491
FAM98A_NM_015475	0.23506512	5.512379616	0.589230353	0.442716891	0.999752564	FAM98A	NM_015475
MAP2K5_NM_145160	-0.261810249	4.072510845	0.589191145	0.442732069	0.999752564	MAP2K5	NM_145160
SCN1B_NM_001037	-0.389363325	2.993843105	0.589160343	0.442743993	0.999752564	SCN1B	NM_001037
PSMG3_NM_001134340	0.324357544	2.711711328	0.588939738	0.442829409	0.999752564	PSMG3	NM_001134340
TCP1_NM_001008897	0.234302439	6.650912823	0.588757552	0.442899968	0.999752564	TCP1	NM_001008897
C6orf115_NM_021243	0.276163108	3.363355424	0.588636097	0.442947017	0.999752564	C6orf115	NM_021243
PPM1K_NM_152542	-0.452146071	1.169196493	0.588601917	0.442960259	0.999752564	PPM1K	NM_152542
ALDH18A1_NM_002860	-0.226623784	5.924049935	0.588383544	0.443044874	0.999752564	ALDH18A1	NM_002860
MAP2K5_NM_001206804	-0.26723743	3.919124757	0.588381629	0.443045616	0.999752564	MAP2K5	NM_001206804
NCAPD3_NM_015261	0.339185356	3.693756679	0.587810512	0.443267031	0.999752564	NCAPD3	NM_015261
PSMA5_NM_001199774	0.228599122	5.848602148	0.587614726	0.443342974	0.999752564	PSMA5	NM_001199774
RRP36_NM_033112	0.236539082	5.052520203	0.587603554	0.443347308	0.999752564	RRP36	NM_033112
TRAPPC4_NM_016146	0.24813057	4.329442642	0.587438336	0.443411411	0.999752564	TRAPPC4	NM_016146
GFRA1_NM_005264	-0.448173196	4.23060002	0.587172776	0.443514476	0.999752564	GFRA1	NM_005264
MFAP3L_NM_021647	-0.520017563	1.449557532	0.587141086	0.443526777	0.999752564	MFAP3L	NM_021647
DIRC2_NM_032839	-0.316798957	2.768560531	0.587065498	0.443556121	0.999752564	DIRC2	NM_032839
AGAP7_NM_001077685	-0.401243578	1.836098049	0.586954572	0.443599189	0.999752564	AGAP7	NM_001077685
ALDH18A1_NM_001017423	-0.226371497	5.923334789	0.586753584	0.44367724	0.999752564	ALDH18A1	NM_001017423
FKBP9L_NR_003949	-0.27662458	4.247124071	0.586706439	0.443695552	0.999752564	FKBP9L	NR_003949
CDC37_NM_007065	0.233071403	6.575652124	0.586166701	0.443905272	0.999752564	CDC37	NM_007065
RPF1_NM_025065	0.262076347	4.040809657	0.585697412	0.444087742	0.999752564	RPF1	NM_025065
GEMIN2_NM_001009183	0.428002595	1.449025822	0.585512301	0.44415975	0.999752564	GEMIN2	NM_001009183
PLEKHG5_NM_001042664	-0.508055894	1.093866791	0.585502103	0.444163717	0.999752564	PLEKHG5	NM_001042664
TMEM194A_NM_001130963	0.412643329	2.58541239	0.584979569	0.444367081	0.999752564	TMEM194A	NM_001130963
TMEM194A_NM_015257	0.41684954	2.515023277	0.584938572	0.444383043	0.999752564	TMEM194A	NM_015257
IFNGR2_NM_005534	-0.238627348	5.095055288	0.584892945	0.444400808	0.999752564	IFNGR2	NM_005534
SEZ6L2_NM_012410	-0.372251895	3.222040324	0.584782146	0.444443953	0.999752564	SEZ6L2	NM_012410
ZNF300_NM_001172832	-0.523296672	0.293351365	0.5844183	0.444585681	0.999752564	ZNF300	NM_001172832
SNAPC1_NM_003082	0.289165847	3.425833187	0.584297128	0.444632896	0.999752564	SNAPC1	NM_003082
MED28_NM_025205	0.274058716	3.822724161	0.584250432	0.444651093	0.999752564	MED28	NM_025205
ZDHHC9_NM_016032	-0.238914209	4.83819462	0.584022007	0.444740127	0.999752564	ZDHHC9	NM_016032
DENND5B_NM_144973	-0.349210921	2.605638072	0.583783643	0.444833064	0.999752564	DENND5B	NM_144973
TMCC2_NM_001242925	0.520951447	0.319997873	0.583724943	0.444855955	0.999752564	TMCC2	NM_001242925
KATNAL1_NM_001014380	0.286280362	3.961961031	0.583325553	0.445011755	0.999752564	KATNAL1	NM_001014380
C1orf124_NM_032018	0.374075307	1.975088011	0.583251387	0.445040696	0.999752564	C1orf124	NM_032018
IRAK2_NM_001570	0.523609657	0.433269747	0.583243613	0.445043729	0.999752564	IRAK2	NM_001570
CUTA_NM_001014837	0.23105065	6.460008442	0.582825851	0.445206804	0.999752564	CUTA	NM_001014837
PMF1-BGLAP_NM_001199662	0.267388348	3.690078549	0.582779792	0.445224789	0.999752564	PMF1-BGLAP	NM_001199662
CAMK2D_NM_172128	-0.233308023	5.70991398	0.582742214	0.445239464	0.999752564	CAMK2D	NM_172128
C8orf56_NR_027071	0.626184367	0.249295493	0.582614411	0.445289376	0.999752564	C8orf56	NR_027071
ERBB2_NM_004448	-0.246755245	5.166645577	0.58204664	0.44551122	0.999752564	ERBB2	NM_004448
S100A3_NM_002960	0.377563294	2.465688778	0.582000796	0.44552914	0.999752564	S100A3	NM_002960
FANCC_NM_001243744	0.472221766	1.153761222	0.581817552	0.445600779	0.999752564	FANCC	NM_001243744
ABLIM3_NM_014945	0.329970043	4.309287306	0.581561633	0.445700861	0.999752564	ABLIM3	NM_014945
EFS_NM_032459	-0.285697601	3.508536511	0.581499772	0.445725058	0.999752564	EFS	NM_032459
ZNF763_NM_001012753	0.50937651	0.594759182	0.581476842	0.445734028	0.999752564	ZNF763	NM_001012753
ZFYVE27_NM_001002262	-0.338552536	2.41397618	0.581453062	0.44574333	0.999752564	ZFYVE27	NM_001002262
PIK3R3_NM_003629	0.510818349	1.050123279	0.581217727	0.445835406	0.999752564	PIK3R3	NM_003629
BRP44_NM_015415	0.244771545	5.274612153	0.581049596	0.445901207	0.999752564	BRP44	NM_015415
ATP6V0C_NM_001198569	0.227226155	5.98738737	0.581013687	0.445915262	0.999752564	ATP6V0C	NM_001198569
SLC1A7_NM_006671	0.599966365	-0.059766176	0.580957318	0.445937327	0.999752564	SLC1A7	NM_006671
RAC1_NM_018890	0.224762074	6.586462409	0.580922935	0.445950787	0.999752564	RAC1	NM_018890
ZNF605_NM_001164715	-0.395021966	1.789839357	0.580781938	0.446005989	0.999752564	ZNF605	NM_001164715
NMB_NM_205858	0.433100492	1.370089749	0.580530492	0.44610446	0.999752564	NMB	NM_205858
MUTYH_NM_001048174	0.388224629	1.85189452	0.580528514	0.446105235	0.999752564	MUTYH	NM_001048174
NDUFV3_NM_021075	0.289865018	3.645183714	0.580510667	0.446112225	0.999752564	NDUFV3	NM_021075
MAP2K5_NM_002757	-0.26130015	4.023527443	0.580278066	0.446203349	0.999752564	MAP2K5	NM_002757
SYNE1_NM_182961	-0.273150183	5.303119398	0.580218869	0.446226544	0.999752564	SYNE1	NM_182961
HSD3B7_NM_001142777	0.310002723	4.290210021	0.580161553	0.446249004	0.999752564	HSD3B7	NM_001142777
PELI1_NM_020651	0.488579192	0.83877507	0.580127048	0.446262526	0.999752564	PELI1	NM_020651
KATNAL1_NM_032116	0.285506095	3.962253238	0.580101221	0.446272648	0.999752564	KATNAL1	NM_032116
GSTT2_NM_000854	-0.4549867	2.840130264	0.579987412	0.446317255	0.999752564	GSTT2	NM_000854
C2CD2_NM_199050	-0.327383944	2.879625819	0.579869475	0.446363487	0.999752564	C2CD2	NM_199050
PLA2G16_NM_001128203	-0.499517436	0.947959509	0.579844185	0.446373402	0.999752564	PLA2G16	NM_001128203
SERINC5_NM_001174072	0.327756386	2.687008554	0.579684014	0.446436204	0.999752564	SERINC5	NM_001174072
NDUFC2_NM_001204055	0.235824062	4.935745982	0.579657257	0.446446697	0.999752564	NDUFC2	NM_001204055
ZNF668_NM_024706	-0.300805013	3.091840788	0.579542675	0.446491634	0.999752564	ZNF668	NM_024706
TRMT1L_NM_001202423	0.331597935	2.747960839	0.579537504	0.446493662	0.999752564	TRMT1L	NM_001202423
ATP6V0C_NM_001694	0.227220068	5.993498723	0.579337105	0.446572272	0.999752564	ATP6V0C	NM_001694
MMAB_NR_038118	0.266843178	4.350692274	0.579028361	0.446693425	0.999752564	MMAB	NR_038118
PGD_NM_002631	-0.268459181	6.50163485	0.578434301	0.44692668	0.999752564	PGD	NM_002631
SYNE1_NM_033071	-0.272110869	5.31010573	0.578188607	0.447023206	0.999752564	SYNE1	NM_033071
VRK2_NR_036441	0.3038872	3.423828943	0.578172776	0.447029427	0.999752564	VRK2	NR_036441
RRAS2_NM_001102669	-0.251050053	6.031305438	0.578046341	0.447079113	0.999752564	RRAS2	NM_001102669
RRAS2_NM_001177315	-0.25103521	6.031385812	0.577988719	0.447101761	0.999752564	RRAS2	NM_001177315
HOXB7_NM_004502	-0.627392856	1.995626309	0.57798364	0.447103757	0.999752564	HOXB7	NM_004502
HELZ_NM_014877	-0.268299779	3.749626759	0.577659056	0.447231362	0.999752564	HELZ	NM_014877
IFT57_NM_018010	0.259243438	4.773251585	0.577541142	0.447277732	0.999752564	IFT57	NM_018010
TMEM126B_NM_001193538	0.260321733	4.509696657	0.577518466	0.44728665	0.999752564	TMEM126B	NM_001193538
TOP3A_NM_004618	0.29317896	3.319386401	0.577432154	0.447320598	0.999752564	TOP3A	NM_004618
DCLK1_NM_001195416	0.537469009	2.07861206	0.577136134	0.447437059	0.999752564	DCLK1	NM_001195416
NAAA_NM_014435	0.322107579	3.731716208	0.577064494	0.447465251	0.999752564	NAAA	NM_014435
SNORD38B_NR_001457	0.244581564	4.963622053	0.577046604	0.447472292	0.999752564	SNORD38B	NR_001457
FLT1_NM_001160030	0.606433869	-0.434233545	0.576938883	0.447514689	0.999752564	FLT1	NM_001160030
ITIH5_NM_032817	0.423191947	4.312050224	0.576906698	0.447527357	0.999752564	ITIH5	NM_032817
RBPJ_NM_203284	0.241479616	5.352694895	0.576864091	0.447544129	0.999752564	RBPJ	NM_203284
YWHAQ_NM_006826	0.266158852	8.084966589	0.576733757	0.447595439	0.999752564	YWHAQ	NM_006826
IL8_NM_000584	0.785111608	-0.490583361	0.576684044	0.447615013	0.999752564	IL8	NM_000584
EIF2B3_NM_001166588	0.259920209	4.110811096	0.576632153	0.447635446	0.999752564	EIF2B3	NM_001166588
GSTZ1_NM_001513	0.28868838	3.326047499	0.576525245	0.447677546	0.999752564	GSTZ1	NM_001513
DCLK1_NM_001195415	0.536920571	2.098512999	0.575971668	0.447895644	0.999752564	DCLK1	NM_001195415
CUTA_NM_001014433	0.229355211	6.39377704	0.575936563	0.447909481	0.999752564	CUTA	NM_001014433
PYCRL_NM_023078	0.309286058	3.176579905	0.575837917	0.447948364	0.999752564	PYCRL	NM_023078
CCT8_NM_006585	0.229174374	6.37563225	0.575485259	0.448087416	0.999752564	CCT8	NM_006585
ISOC1_NM_016048	0.411411739	1.473305874	0.575431126	0.448108767	0.999752564	ISOC1	NM_016048
CELF1_NM_001172639	0.260006419	4.309727462	0.575397441	0.448122053	0.999752564	CELF1	NM_001172639
ATP5L2_NM_001165877	0.285650342	3.298636629	0.575085528	0.44824511	0.999752564	ATP5L2	NM_001165877
SNRPF_NM_003095	0.275509708	3.537424544	0.574927681	0.448307405	0.999752564	SNRPF	NM_003095
FOXM1_NM_021953	0.298455488	5.337064262	0.574773833	0.448368134	0.999752564	FOXM1	NM_021953
CAMK2D_NM_172127	-0.232858035	5.713775402	0.574718451	0.448389998	0.999752564	CAMK2D	NM_172127
SLIT3_NM_003062	0.340895398	8.252835046	0.574703473	0.448395912	0.999752564	SLIT3	NM_003062
VLDLR_NM_001018056	-0.372846953	3.210127952	0.574653952	0.448415464	0.999752564	VLDLR	NM_001018056
PLCB3_NM_000932	0.253804915	4.771783093	0.574460814	0.448491733	0.999752564	PLCB3	NM_000932
NUP205_NM_015135	0.277788324	4.532857648	0.574460368	0.448491909	0.999752564	NUP205	NM_015135
HIATL1_NM_032558	0.253859553	4.740831776	0.574345446	0.448537301	0.999752564	HIATL1	NM_032558
CHCHD7_NM_001011670	0.30137695	3.029752596	0.574253445	0.448573644	0.999752564	CHCHD7	NM_001011670
CAPZB_NR_038125	0.253078888	8.015274126	0.574098109	0.448635017	0.999752564	CAPZB	NR_038125
CCP110_NM_001199022	0.385397294	2.351106347	0.573910082	0.448709324	0.999752564	CCP110	NM_001199022
MUTYH_NM_001048173	0.385251437	1.855082762	0.573880657	0.448720954	0.999752564	MUTYH	NM_001048173
BTAF1_NM_003972	-0.270711825	3.760454341	0.573443556	0.448893775	0.999752564	BTAF1	NM_003972
MOCOS_NM_017947	-0.293187694	3.717786433	0.573340452	0.448934555	0.999752564	MOCOS	NM_017947
MUTYH_NM_001048172	0.384993473	1.855633409	0.573048436	0.449050086	0.999752564	MUTYH	NM_001048172
SPECC1L_NM_001254733	0.235968435	4.384520985	0.572977364	0.449078211	0.999752564	SPECC1L	NM_001254733
STX12_NM_177424	-0.246842386	5.245562784	0.572772147	0.449159437	0.999752564	STX12	NM_177424
NARF_NM_001038618	-0.257697297	3.997772385	0.572697173	0.449189118	0.999752564	NARF	NM_001038618
TRMT1L_NM_030934	0.324421189	2.813623482	0.572257455	0.449363256	0.999752564	TRMT1L	NM_030934
MMAB_NM_052845	0.26641779	4.258537404	0.572006111	0.449462841	0.999752564	MMAB	NM_052845
FOXM1_NM_202002	0.297981598	5.356748435	0.57196581	0.449478812	0.999752564	FOXM1	NM_202002
ADAM15_NM_003815	-0.217570681	5.654625835	0.571944361	0.449487312	0.999752564	ADAM15	NM_003815
ITFG3_NM_032039	-0.220022378	5.680166734	0.571790629	0.449548244	0.999752564	ITFG3	NM_032039
CCT6P1_NR_003110	-0.58233763	-0.161510396	0.571781958	0.449551681	0.999752564	CCT6P1	NR_003110
TIMM21_NM_014177	0.334192286	2.655487273	0.571721606	0.449575606	0.999752564	TIMM21	NM_014177
CAPZB_NM_004930	0.253081816	8.014345987	0.571422436	0.449694231	0.999752564	CAPZB	NM_004930
TUFM_NM_003321	-0.223970408	6.618314047	0.571350062	0.449722936	0.999752564	TUFM	NM_003321
CAPZB_NM_001206540	0.254112884	8.091714701	0.57126284	0.449757533	0.999752564	CAPZB	NM_001206540
DOCK4_NM_014705	-0.472644735	1.83562904	0.571231999	0.449769768	0.999752564	DOCK4	NM_014705
BRP44_NM_001143674	0.242773267	5.282418706	0.571169903	0.449794402	0.999752564	BRP44	NM_001143674
PIGX_NM_017861	0.300133987	2.931566937	0.571019088	0.449854242	0.999752564	PIGX	NM_017861
PDLIM5_NR_046186	0.497462264	0.80926418	0.570893697	0.449904003	0.999752564	PDLIM5	NR_046186
SNORD36B_NR_000017	0.235540251	5.852217043	0.570842918	0.449924158	0.999752564	SNORD36B	NR_000017
PLCB3_NM_001184883	0.253803989	4.718709337	0.570794589	0.449943341	0.999752564	PLCB3	NM_001184883
CELF2_NM_001025076	-0.503841908	4.795250676	0.570730581	0.449968749	0.999752564	CELF2	NM_001025076
ABHD14B_NM_001254753	-0.239838578	4.838879063	0.570719679	0.449973077	0.999752564	ABHD14B	NM_001254753
RASSF7_NM_003475	-0.56805596	-0.160213457	0.570626279	0.450010157	0.999752564	RASSF7	NM_003475
DCAF12_NM_015397	0.256143129	4.018729696	0.570199197	0.450179772	0.999752564	DCAF12	NM_015397
C3orf45_NM_153215	0.407343871	1.690043607	0.570099941	0.450219205	0.999752564	C3orf45	NM_153215
MRPS26_NM_030811	0.270362661	3.340780421	0.569978392	0.450267503	0.999752564	MRPS26	NM_030811
ACD_NM_001082486	0.318425164	2.892869904	0.56991914	0.45029105	0.999752564	ACD	NM_001082486
CELF2_NM_001083591	-0.50332949	4.795932423	0.569637303	0.450403078	0.999752564	CELF2	NM_001083591
KANK2_NM_015493	0.239488732	6.463584678	0.569635386	0.450403841	0.999752564	KANK2	NM_015493
ICAM1_NM_000201	0.471468085	1.18666306	0.569502122	0.450456828	0.999752564	ICAM1	NM_000201
C20orf24_NR_026562	0.230542992	5.3556099	0.569501139	0.450457219	0.999752564	C20orf24	NR_026562
RPL38_NM_000999	0.250734681	8.011621133	0.569413787	0.450491956	0.999752564	RPL38	NM_000999
NOL11_NM_015462	0.249614184	4.328082463	0.56872478	0.4507661	0.999752564	NOL11	NM_015462
MTMR2_NM_001243571	0.231385914	5.153205948	0.568593961	0.45081818	0.999752564	MTMR2	NM_001243571
HEATR8-TTC4_NR_037639	0.271411995	3.787477435	0.568134023	0.45100136	0.999752564	HEATR8-TTC4	NR_037639
CUTA_NM_001014838	0.228037419	6.454078433	0.56797219	0.451065841	0.999752564	CUTA	NM_001014838
PPP1CC_NM_001244974	0.222900197	5.300948544	0.567846492	0.451115934	0.999752564	PPP1CC	NM_001244974
RBPJ_NM_005349	0.239131008	5.321679357	0.567564613	0.451228301	0.999752564	RBPJ	NM_005349
RPL38_NM_001035258	0.249088293	7.932339839	0.566742083	0.451556438	0.999752564	RPL38	NM_001035258
NARF_NM_001083608	-0.262641582	3.85679543	0.566699895	0.451573278	0.999752564	NARF	NM_001083608
FAM174B_NM_207446	0.544941092	0.200777537	0.56663338	0.451599831	0.999752564	FAM174B	NM_207446
ACD_NM_022914	0.318324039	2.885415266	0.566523701	0.451643621	0.999752564	ACD	NM_022914
RBPJ_NM_015874	0.239246395	5.328052209	0.566483389	0.451659718	0.999752564	RBPJ	NM_015874
CC2D1A_NM_017721	-0.258797619	4.159370661	0.566374808	0.451703078	0.999752564	CC2D1A	NM_017721
PDLIM5_NM_001256429	0.497712495	0.77235053	0.566282158	0.451740082	0.999752564	PDLIM5	NM_001256429
CUTA_NM_001014840_1	0.227437929	6.42098389	0.566010399	0.451848647	0.999752564	CUTA	001014840_1
COL16A1_NM_001856	0.3129568	7.338999434	0.565823113	0.45192349	0.999752564	COL16A1	NM_001856
SLMO2-ATP5E_NR_037929	0.240463948	6.509261726	0.565651335	0.451992153	0.999752564	SLMO2-ATP5E	NR_037929
HEATR8-TTC4_NR_037640	0.271476793	3.787461242	0.565372959	0.45210346	0.999752564	HEATR8-TTC4	NR_037640
ZMYND10_NM_015896	0.596145263	-0.347498471	0.565302601	0.452131599	0.999752564	ZMYND10	NM_015896
EIF1B_NM_005875	0.238852332	4.351630793	0.565268497	0.452145239	0.999752564	EIF1B	NM_005875
ZBTB47_NM_145166	-0.241408298	5.001997321	0.565169905	0.452184677	0.999752564	ZBTB47	NM_145166
PARK2_NM_013987	-0.557352602	-0.028133898	0.564798876	0.452333139	0.999752564	PARK2	NM_013987
RHCE_NM_138616	0.469533455	1.016574437	0.5647293	0.452360987	0.999752564	RHCE	NM_138616
RNF19B_NM_001127361	0.342266075	2.392764331	0.564493935	0.452455214	0.999752564	RNF19B	NM_001127361
HEATR8-TTC4_NR_037641	0.271226947	3.785860135	0.564362391	0.452507889	0.999752564	HEATR8-TTC4	NR_037641
MAPK9_NM_002752	0.239382391	4.420637353	0.564256477	0.452550309	0.999752564	MAPK9	NM_002752
GSPT2_NM_018094	-0.3444469	2.306328325	0.564075421	0.452622838	0.999752564	GSPT2	NM_018094
AP3S1_NM_001284	0.218009259	5.825264185	0.56403497	0.452639045	0.999752564	AP3S1	NM_001284
MUTYH_NM_001128425	0.37694425	1.9319335	0.564031667	0.452640368	0.999752564	MUTYH	NM_001128425
MUTYH_NM_012222	0.376746182	1.930867538	0.563627413	0.452802384	0.999752564	MUTYH	NM_012222
SRI_NM_003130	0.212352619	5.618375318	0.563387938	0.452898403	0.999752564	SRI	NM_003130
CELF2_NM_006561	-0.501193545	4.777914067	0.563249226	0.452954035	0.999752564	CELF2	NM_006561
MAPK9_NM_139068	0.238932851	4.421566883	0.563222207	0.452964872	0.999752564	MAPK9	NM_139068
ZRANB2_NM_203350	-0.244720277	4.581624233	0.562990291	0.453057912	0.999752564	ZRANB2	NM_203350
ZFYVE28_NM_020972	-0.422132529	1.70092196	0.56298934	0.453058293	0.999752564	ZFYVE28	NM_020972
C11orf73_NR_024597	0.266769529	3.959455375	0.562828362	0.453122892	0.999752564	C11orf73	NR_024597
GNG10_NM_001198664	0.246179578	5.149202997	0.562666767	0.453187753	0.999752564	GNG10	NM_001198664
RBPJ_NM_203283	0.238388162	5.319762853	0.56226137	0.453350535	0.999752564	RBPJ	NM_203283
GNG10_NM_001017998	0.24599374	5.149537668	0.561936371	0.4534811	0.999752564	GNG10	NM_001017998
MRPL13_NM_014078	0.258685278	4.204931035	0.561867844	0.453508638	0.999752564	MRPL13	NM_014078
NAE1_NM_001018160	0.239353781	5.096448809	0.561742052	0.453559194	0.999752564	NAE1	NM_001018160
PBX2_NM_002586_1	-0.272119648	3.354113836	0.561670885	0.4535878	0.999752564	PBX2	002586_1
CELF2_NM_001025077	-0.500014521	4.7507124	0.56163414	0.453602571	0.999752564	CELF2	NM_001025077
PGBD1_NM_001184743	0.407323367	1.473506911	0.561564649	0.453630508	0.999752564	PGBD1	NM_001184743
MSMO1_NM_001017369	0.305366602	5.223710072	0.561471243	0.453668063	0.999752564	MSMO1	NM_001017369
ADAM15_NM_207194	-0.215829279	5.681941989	0.561398179	0.453697443	0.999752564	ADAM15	NM_207194
TAF9B_NM_015975	0.292571242	3.126990306	0.561393466	0.453699338	0.999752564	TAF9B	NM_015975
ZFYVE28_NM_001172656	-0.425391203	1.626549431	0.561117608	0.453810291	0.999752564	ZFYVE28	NM_001172656
ADAM15_NM_207195	-0.215914285	5.682496182	0.561038896	0.453841958	0.999752564	ADAM15	NM_207195
FBXO7_NM_012179	0.209266846	5.709122655	0.560921067	0.453889369	0.999752564	FBXO7	NM_012179
MTERFD1_NM_015942	0.339446205	2.429700792	0.560913542	0.453892397	0.999752564	MTERFD1	NM_015942
C3orf55_NM_001243729	0.544350995	-0.068153294	0.560844254	0.45392028	0.999752564	C3orf55	NM_001243729
WNK4_NM_032387	-0.672898479	0.841877972	0.560469078	0.454071306	0.999752564	WNK4	NM_032387
MTMR2_NM_201278	0.230499028	5.12760188	0.56039933	0.454099391	0.999752564	MTMR2	NM_201278
NDUFC2_NM_004549	0.231443631	5.008418434	0.560382257	0.454106266	0.999752564	NDUFC2	NM_004549
MUTYH_NM_001048171	0.376004455	1.928627327	0.560284763	0.45414553	0.999752564	MUTYH	NM_001048171
SAV1_NM_021818	0.274975751	3.94774357	0.560279918	0.454147481	0.999752564	SAV1	NM_021818
MSMO1_NM_006745	0.301252447	5.430561262	0.560089416	0.454224218	0.999752564	MSMO1	NM_006745
RUSC1_NM_001105203	0.266209241	3.944539785	0.559979944	0.454268324	0.999752564	RUSC1	NM_001105203
KDM5D_NM_001146706	-0.281294821	3.469154774	0.559916944	0.454293709	0.999752564	KDM5D	NM_001146706
CIB2_NM_006383	-0.455658718	1.915452494	0.559834054	0.454327113	0.999752564	CIB2	NM_006383
CYLD_NM_015247	0.24668916	4.581933739	0.559803638	0.454339371	0.999752564	CYLD	NM_015247
DNALI1_NM_003462	0.474480926	1.195481469	0.55964059	0.454405091	0.999752564	DNALI1	NM_003462
ADAM15_NM_207196	-0.214278048	5.70927727	0.559482252	0.454468927	0.999752564	ADAM15	NM_207196
TMED4_NM_182547	-0.259680004	3.871771769	0.559383403	0.454508785	0.999752564	TMED4	NM_182547
PPP1R13B_NM_015316	-0.493106746	0.685726915	0.55934458	0.454524442	0.999752564	PPP1R13B	NM_015316
WDR33_NM_001006622	0.292267922	2.925198428	0.559343735	0.454524783	0.999752564	WDR33	NM_001006622
PTRH1_NM_001002913	0.330288158	2.552582369	0.559329583	0.45453049	0.999752564	PTRH1	NM_001002913
NT5C1B-RDH14_NM_001199103	0.369302943	1.960542849	0.559201551	0.454582129	0.999752564	NT5C1B-RDH14	NM_001199103
NMB_NM_021077	0.424705888	1.375596498	0.559068954	0.454635619	0.999752564	NMB	NM_021077
POMGNT1_NM_017739	-0.233247889	5.350361976	0.559064824	0.454637285	0.999752564	POMGNT1	NM_017739
INTS10_NM_018142	0.235515206	4.515471704	0.5589479	0.45468446	0.999752564	INTS10	NM_018142
PIGP_NM_153681	0.352028621	2.245861606	0.558844882	0.454726032	0.999752564	PIGP	NM_153681
ADAM15_NM_207197	-0.214235301	5.709294468	0.55879581	0.454745836	0.999752564	ADAM15	NM_207197
APRT_NM_001030018	0.225537254	5.44153383	0.558527408	0.454854181	0.999752564	APRT	NM_001030018
FBXO7_NM_001033024	0.210579669	5.637145944	0.558181404	0.454993912	0.999752564	FBXO7	NM_001033024
ASPHD1_NM_181718	-0.512772317	0.744984029	0.558173287	0.454997191	0.999752564	ASPHD1	NM_181718
SRSF2_NR_036608	0.221229165	5.853177236	0.558043763	0.455049516	0.999752564	SRSF2	NR_036608
CETN2_NM_004344	0.226873292	5.057723746	0.558018105	0.455059882	0.999752564	CETN2	NM_004344
ZDHHC9_NM_001008222	-0.234817852	4.787963288	0.557966133	0.455080881	0.999752564	ZDHHC9	NM_001008222
ZNF415_NR_028343	0.422462321	1.528665618	0.557892635	0.45511058	0.999752564	ZNF415	NR_028343
PGBD1_NM_032507	0.406734082	1.470480475	0.557850227	0.455127718	0.999752564	PGBD1	NM_032507
TMCO7_NM_024562	0.289069043	3.676048025	0.55767691	0.455197768	0.999752564	TMCO7	NM_024562
RNF207_NM_207396	0.524162395	0.59788528	0.557670563	0.455200334	0.999752564	RNF207	NM_207396
MTMR2_NM_201281	0.230409831	5.103607235	0.557584884	0.455234969	0.999752564	MTMR2	NM_201281
TP53_NM_001126113	-0.245779847	4.99054365	0.557292169	0.455353331	0.999752564	TP53	NM_001126113
APRT_NM_000485	0.220462804	5.575823398	0.557261613	0.455365689	0.999752564	APRT	NM_000485
GSTZ1_NM_145870	0.284998659	3.298668028	0.557224052	0.455380881	0.999752564	GSTZ1	NM_145870
ITIH5_NM_001001851	0.420669734	3.837887892	0.557223632	0.455381051	0.999752564	ITIH5	NM_001001851
TP53_NM_001126114	-0.245802171	4.99057117	0.556969147	0.455484003	0.999752564	TP53	NM_001126114
RNF19B_NM_153341	0.340289688	2.389123716	0.556912764	0.455506818	0.999752564	RNF19B	NM_153341
SRI_NM_198901	0.212309797	5.57268706	0.556838313	0.455536947	0.999752564	SRI	NM_198901
RBBP6_NM_006910	-0.27250827	3.464612044	0.556822207	0.455543465	0.999752564	RBBP6	NM_006910
VPS39_NM_015289	-0.221024796	5.517663415	0.55659854	0.455633998	0.999752564	VPS39	NM_015289
SUMF1_NM_001164675	0.246950383	4.636280903	0.556431859	0.455701484	0.999752564	SUMF1	NM_001164675
TAGLN_NM_001001522	0.386543087	9.570486131	0.555912401	0.455911903	0.999752564	TAGLN	NM_001001522
PPM1G_NM_177983	0.224874676	5.527114527	0.5559016	0.45591628	0.999752564	PPM1G	NM_177983
ZNF37BP_NR_026777	-0.450431228	1.105788157	0.555837519	0.455942248	0.999752564	ZNF37BP	NR_026777
RHCE_NM_138617	0.463255433	1.036808419	0.555685006	0.456004063	0.999752564	RHCE	NM_138617
ATP5EP2_NR_002162	0.286297102	3.564364428	0.55567299	0.456008933	0.999752564	ATP5EP2	NR_002162
MAPK9_NM_139070	0.237468223	4.380143932	0.555601682	0.45603784	0.999752564	MAPK9	NM_139070
SSRP1_NM_003146	0.230285476	6.386060846	0.555523773	0.456069426	0.999752564	SSRP1	NM_003146
KDM5D_NM_004653	-0.280744805	3.509531832	0.555377118	0.456128892	0.999752564	KDM5D	NM_004653
SLC44A3_NM_152369	-0.554033628	-0.087330144	0.55527877	0.456168777	0.999752564	SLC44A3	NM_152369
